Date,Open,High,Low,Close,Adj Close,Volume,High,Low
01-07-2002,38.848,39.1381,38.481499,38.878502,30.653257,4031529,40.115398,38.5425
02-07-2002,38.7258,40.115398,38.5425,39.2145,30.918173,14152322,39.764198,38.863201
03-07-2002,39.0312,39.764198,38.863201,39.565701,31.195072,8456845,40.833099,39.306099
04-07-2002,39.871101,40.833099,39.306099,39.535099,31.170952,12745157,40.008499,39.0159
05-07-2002,40.008499,40.008499,39.0159,39.351898,31.026503,6445895,40.039101,38.405102
08-07-2002,39.733601,40.039101,38.405102,38.6189,30.448576,8225227,39.1534,37.885899
09-07-2002,38.2677,39.1534,37.885899,37.977501,29.942871,10865999,38.588402,37.412498
10-07-2002,38.1455,38.588402,37.412498,37.580502,29.629868,8238269,38.1455,36.862801
11-07-2002,37.412498,38.1455,36.862801,37.8554,29.846607,12711851,38.5578,37.458401
12-07-2002,38.3288,38.5578,37.458401,37.748501,29.762321,7378410,37.840099,35.290001
15-07-2002,37.824799,37.840099,35.290001,35.7328,28.173073,12436803,37.717899,35.0303
16-07-2002,35.488499,37.717899,35.0303,37.183498,29.316854,20568293,37.168201,36.084
17-07-2002,36.893299,37.168201,36.084,36.633801,28.883453,9150981,37.382,35.641201
18-07-2002,37.2598,37.382,35.641201,36.114601,28.474092,18480280,37.458401,36.236698
19-07-2002,36.236698,37.458401,36.236698,36.5116,28.7871,14291424,35.9771,32.770302
22-07-2002,35.809101,35.9771,32.770302,33.4575,26.379135,13678966,34.755501,32.235901
23-07-2002,33.549099,34.755501,32.235901,34.465401,27.173803,15143604,33.900299,32.251099
24-07-2002,33.900299,33.900299,32.251099,33.1063,26.102242,10235892,35.0914,33.060501
25-07-2002,34.297401,35.0914,33.060501,33.5186,26.427315,7693444,32.8009,31.182199
26-07-2002,32.678699,32.8009,31.182199,31.6556,24.95845,10417471,32.358002,30.235399
29-07-2002,30.5408,32.358002,30.235399,30.663,24.17585,12310549,32.3428,30.5408
30-07-2002,32.052601,32.3428,30.5408,30.8463,24.320372,13186592,32.2206,29.410801
31-07-2002,30.235399,32.2206,29.410801,31.823601,25.09091,12271817,32.587101,31.182199
01-08-2002,32.067902,32.587101,31.182199,31.625,24.934328,8791383,30.937901,29.93
02-08-2002,30.6019,30.937901,29.93,30.4645,24.019352,9847287,31.3654,30.4034
05-08-2002,30.8463,31.3654,30.4034,30.663,24.17585,7967268,30.830999,29.5788
