Date,Open,High,Low,Close,Adj Cose,Volume,Next High,Next Low
28-05-1996,5.82222,5.95111,5.77889,5.88889,0.000088,26806500,6.23333,6.00556
29-05-1996,6.02222,6.23333,6.00556,6.15222,0.000092,19197000,6.21667,6.05444
30-05-1996,6.15222,6.21667,6.05444,6.07556,0.000091,16020000,6.11111,6.05556
31-05-1996,6.07556,6.11111,6.05556,6.09222,0.000091,6705000,6.31,6.11111
03-06-1996,6.11111,6.31,6.11111,6.28444,0.000094,19215000,6.36556,6.13333
04-06-1996,6.31111,6.36556,6.13333,6.17222,0.000092,16807500,6.19889,6.08889
05-06-1996,6.18889,6.19889,6.08889,6.17,0.000092,11344500,6.41111,6.26667
06-06-1996,6.27778,6.41111,6.26667,6.35778,0.000095,29074500,6.54444,6.31222
07-06-1996,6.31222,6.54444,6.31222,6.52333,0.000097,73305000,6.57222,6.45667
10-06-1996,6.57222,6.57222,6.45667,6.51333,0.000097,34047000,6.75,6.46111
11-06-1996,6.46111,6.75,6.46111,6.65444,0.000099,60835500,6.90889,6.75556
12-06-1996,6.76667,6.90889,6.75556,6.83667,0.000102,59859000,6.98333,6.81667
13-06-1996,6.81667,6.98333,6.81667,6.96222,0.000104,95800500,7.29444,6.98778
14-06-1996,6.98778,7.29444,6.98778,7.26667,0.000108,179604000,7.26667,6.86667
17-06-1996,7.21667,7.26667,6.86667,6.91556,0.000103,179815500,7,6.29667
18-06-1996,6.84444,7,6.29667,6.80111,0.000101,246838500,6.66667,6.40444
19-06-1996,6.64444,6.66667,6.40444,6.45444,0.000096,159619500,6.76111,6.36889
20-06-1996,6.36889,6.76111,6.36889,6.68889,0.0001,157018500,6.92222,6.62222
21-06-1996,6.62222,6.92222,6.62222,6.82,0.000102,279954000,7.2,6.88889
24-06-1996,6.88889,7.2,6.88889,7.15333,0.000107,326632500,7.33333,7.02889
25-06-1996,7.22222,7.33333,7.02889,7.09889,0.000106,424192500,7.12222,6.93889
26-06-1996,7.08889,7.12222,6.93889,6.97333,0.000104,202864500,7.06667,6.86667
27-06-1996,6.93333,7.06667,6.86667,7.02667,0.000105,227979000,7.10556,6.94222
28-06-1996,7.06667,7.10556,6.94222,6.97,0.000104,131152500,6.94444,6.75778
01-07-1996,6.91333,6.94444,6.75778,6.80444,0.000101,181584000,6.86111,6.67444
02-07-1996,6.8,6.86111,6.67444,6.71778,0.0001,190984500,6.73333,6.55556
03-07-1996,6.73333,6.73333,6.55556,6.64333,0.000099,213259500,6.73222,6.49111
04-07-1996,6.58889,6.73222,6.49111,6.62778,0.000099,204102000,6.87778,6.67889
05-07-1996,6.70556,6.87778,6.67889,6.81333,0.000102,301122000,7.22222,6.76667
08-07-1996,6.88778,7.22222,6.76667,6.81111,0.00016,129073500,6.80889,6.44667
09-07-1996,6.76,6.80889,6.44667,6.69556,0.000158,126684000,6.91111,6.73556
10-07-1996,6.88889,6.91111,6.73556,6.86333,0.000162,190098000,7.06667,6.88444
11-07-1996,6.88444,7.06667,6.88444,6.99778,0.000165,267327000,7.05556,6.93333
12-07-1996,6.97778,7.05556,6.93333,6.97,0.000164,194985000,7,6.87889
15-07-1996,6.93556,7,6.87889,6.97333,0.000164,162396000,7.02,6.85556
16-07-1996,7,7.02,6.85556,6.89222,0.000162,131220000,7.02222,6.90111
17-07-1996,6.93889,7.02222,6.90111,6.96667,0.000164,144319500,7.12222,6.97556
18-07-1996,6.99444,7.12222,6.97556,7.03778,0.000166,183604500,7.1,6.94444
